dateFrom,dateTo,level
2020-01-22,2020-01-25,0
2020-01-25,2020-03-29,1
2020-03-29,2020-05-06,3
2020-05-06,2020-07-13,2
2020-07-13,2020-07-19,3
2020-07-19,2020-09-04,4
2020-09-04,2020-10-30,3
2020-10-30,2020-12-02,2
2020-12-02,2021-01-23,4
2021-01-23,2021-02-18,5
2021-02-18,2021-05-18,3
