date,description,url,featured
2021-02-10,"After 24,000 people had been tested during 25 lockdowns, and only four of them yielded positive cases Carrie Lam promises no lockdowns over Lunar New Year.","https://hongkongfp.com/2021/02/10/covid-19-hong-kongs-carrie-lam-promises-no-lockdowns-over-lunar-new-year-as-latest-lockdowns-yield-no-cases/",0
2021-02-18,"Gyms, beauty parlors, theme parks, and cinemas allowed to reopen. Eateries allowed to extend their dine-in service to 10:00 pm, with diners having to use the LeaveHomeSafe government app to check in. Gathering size increase from 2 to 4 people.","https://hongkongfp.com/2021/02/10/breaking-hong-kong-sports-venues-cinemas-govt-services-to-resume-next-thur-as-4th-wave-of-covid-19-subsides/",0
2021-02-26,"Hong Kong’s vaccination programme begins as three centres are switched to China-made vaccine","https://hongkongfp.com/2021/02/26/covid-19-hong-kongs-vaccination-programme-begins-as-three-more-centres-announced-to-meet-strong-demand/",0
2021-03-10,"The Pfizer-BioNTech vaccine was introduced for public use on 10 March.","https://www.scmp.com/news/hong-kong/health-environment/article/3125798/coronavirus-hong-kong-vaccine-takers-could-be",0
2021-03-11,"Fears Hong Kong gym Covid outbreak could result in 50 cases; fourth suspected death after Sinovac jab","https://hongkongfp.com/2021/03/11/fears-hong-kong-gym-covid-outbreak-could-lead-to-50-new-cases-fourth-suspected-death-after-sinovac-jab/",0
2021-03-15,"Hong Kong to open up Covid-19 vaccine programme to 30-59 year olds, domestic workers, and students aged over 16 who are in education overseas","https://hongkongfp.com/2021/03/15/breaking-hong-kong-to-expand-covid-19-vaccine-programme-to-30-59-year-olds/",0
2021-03-24,"Hong Kong suspends BioNTech Covid-19 vaccines ‘as precaution’ over defective packaging","https://www.scmp.com/video/coronavirus/3126777/hong-kong-suspends-biontech-covid-19-vaccines-precaution-over-defective",0
2021-04-01,"Arrangements for designated flights from the United Kingdom (UK) to Hong Kong and the latest quarantine arrangements for arrivals from overseas low-risk specified places.","https://www.info.gov.hk/gia/general/202104/01/P2021040100696.htm",0
2021-04-02,"300,000 Pfizer-BioNTech shots land in city for vaccination relaunch.","https://www.scmp.com/news/hong-kong/health-environment/article/3128076/coronavirus-300000-pfizer-biontech-shots-land",0
2021-04-20,"Hong Kong suspends flights from India, Pakistan, and the Philippines for two weeks after the N501Y mutant COVID-19 strain was detected in Hong Kong.","https://news.yahoo.com/hong-kong-bans-flights-india-003406568.html",0
2021-04-23,"Cross-boundary goods vehicle drivers who have received two vaccine doses for 14 days and received a message in the Yuekang Code system issued by Guangdong Province are not required to undergo a nucleic acid test once every day.","https://www.news.gov.hk/eng/2021/04/20210416/20210416_205036_274.html",0
2021-04-29,"The Return2hk Scheme was extended from Guangdong and Macau to other Mainland provinces and municipalities.","https://www.news.gov.hk/eng/2021/04/20210426/20210426_124708_233.html",0
2021-05-04,"The Government to roll out the Come2hk Scheme later this month, the scheme will enable non-Hong Kong residents, including Mainland people and expatriates who live and work in the Mainland, to come to Hong Kong without undergoing compulsory quarantine.","https://www.news.gov.hk/eng/2021/05/20210504/20210504_103303_546.html?type=category&name=covid19&tl=t",0
2021-05-11,"Education Bureau announces all kindergartens, primary, and secondary schools may fully resume face-to-face classes on a half-day basis from May 24.","https://www.news.gov.hk/eng/2021/05/20210511/20210511_105501_952.html?type=category&name=covid19&tl=t",0
