dateFrom,dateTo,level
2020-02-11,2020-03-23,0
2020-03-23,2020-05-13,5
2020-05-13,2020-06-01,4
2020-06-01,2020-07-04,3
2020-07-04,2020-08-15,2
2020-08-15,2020-09-14,1
2020-09-14,2020-11-05,2
2020-11-05,2020-12-02,5
2020-12-02,2020-12-20,2
2020-12-20,2021-03-08,5
2021-03-08,2021-03-29,4
2021-03-29,2021-04-12,3
2021-04-12,2021-05-17,2
2021-05-17,2021-05-22,1
