date,description,url,featured
2020-10-07,NSW Government announces pilot of outdoor dining in Sydney to encourage patronage of hospitality venues after covid.,https://www.nsw.gov.au/news/sydney-cbd-alfresco-dining-set-to-open,0
2020-10-16,"Trans-Tasman travel bubble begins with New Zealand travellers able to enter Australia without a quarantine period. Capacity doubles in hospitality venues, with one person per two square metres instead of four.",https://www.sbs.com.au/news/emotional-scenes-as-first-no-quarantine-flights-arrive-into-sydney-under-new-trans-tasman-travel-bubble,0
2020-10-23,"Number of people able to gather outdoors increased from 20 to 30, and number at a table in hospitality venues raised from 10 to 30. Limits on gym operation and religious worship ceremonies also eased.",https://www.nsw.gov.au/news/outdoor-gathering-and-hospitality-bookings-to-increase,0
2020-11-18,NSW Government announces “Out and About” scheme to stimulate local dining and entertainment by giving citizens digital vouchers. The scheme is to launch in January 2021.,https://www.nsw.gov.au/news/dine-and-discover-vouchers-to-support-local-economy,0
2020-11-23,"Recording customer information digitally becomes law in NSW, with the Service NSW app available since September.",https://www.nsw.gov.au/news/mandatory-customer-check-for-nsw-venues,0
2020-12-14,Capacity increases on Public Transport across NSW.,https://www.nsw.gov.au/news/public-transport-capacity-to-increase,0
2020-12-18,"A COVID-19 hotspot is declared in Sydney’s northern beaches, prompting the government to instruct residents of the area to work from home and avoid unnecessary gatherings.",https://www.nsw.gov.au/news/new-covid-19-clinics-and-increased-operations-for-northern-beaches,0
2020-12-20,Premier Gladys Berejiklian imposes lockdown restrictions across Sydney including a limit of 10 visitors to homes and the reintroduction for hospitality of the rule of one patron per 4 square metres. Residents of the Northern Beaches are not allowed to leave their area. The use of face masks is encouraged.,https://www.news.com.au/lifestyle/health/health-problems/sydney-cluster-30-new-cases-recorded-after-northern-beaches-outbreak/news-story/4894dac7de6199c50da8614550968108,0
2021-01-01,Sydneysiders limited to gatherings of five indoors and 30 outdoors to celebrate the New Year amid the northern beaches outbreak.,https://www.sbs.com.au/news/australians-welcome-2021-with-fireworks-on-empty-sydney-harbour,0
2021-01-03,"Wearing of face masks becomes compulsory when in certain areas in NSW. Capacity of gyms, worship, weddings, funerals and performance venues are reduced.",https://www.abc.net.au/news/2021-01-02/nsw-coronavirus-the-new-restrictions-in-greater-sydney-explained/13027530,0
2021-01-29,"Restrictions eased as case numbers drop, with masks no longer compulsory. The Premier waits a further two weeks before easing hospitality density limits.",https://www.theage.com.au/national/nsw/things-have-changed-some-restrictions-eased-as-nsw-strikes-balance-20210127-p56x7r.html,0
2021-02-21,"First COVID-19 Vaccine administered in Australia, to a Sydney aged care resident.",https://www.smh.com.au/politics/federal/covid-19-vaccines-begin-as-prime-minister-receives-pfizer-immunisation-20210221-p574cw.html,0
2021-04-19,Cross-Tasman travel bubble now allows no-quarantine flights between Australia and New Zealand in either direction,https://www.abc.net.au/news/2021-04-19/travel-bubble-opens-new-zealand-journey-home/100077854,0
2021-05-06,"After another outbreak in Sydney, restrictions are tightened for four days, with face masks again compulsory and a reduction in social gathering limits.",https://www.abc.net.au/news/2021-05-06/nsw-records-second-positive-covid-case/100119774,0
2021-05-09,Restrictions extended until 17 May as missing links in chain of transmission are still not identified.,https://www.abc.net.au/news/2021-05-09/nsw-records-no-local-covid-cases-restrictions-extended-to-may-17/100126708,0
2021-05-17,Restrictions introduced on May 6 are removed.,https://www.abc.net.au/news/2021-05-17/sydney-news-greater-sydney-covid-19-restrictions-lifted/100142462,0
