date,cases,deaths
2020-10-27,1781,16
2020-10-28,1711,9
2020-10-29,2351,19
2020-10-30,2328,30
2020-10-31,2393,6
2020-11-01,2122,22
2020-11-02,1870,11
2020-11-03,2069,10
2020-11-04,2068,20
2020-11-05,3217,64
2020-11-06,3211,15
2020-11-07,3900,12
2020-11-08,3579,19
2020-11-09,3446,20
2020-11-10,3957,16
2020-11-11,4253,22
2020-11-12,5225,14
2020-11-13,5666,18
2020-11-14,5577,17
2020-11-15,4192,22
2020-11-16,4210,22
2020-11-17,4612,102
2020-11-18,4876,31
2020-11-19,5824,28
2020-11-20,5733,37
2020-11-21,6312,44
2020-11-22,5680,23
2020-11-23,6437,26
2020-11-24,4882,23
2020-11-25,6033,28
2020-11-26,7312,55
2020-11-27,8278,38
2020-11-28,6861,37
2020-11-29,5478,47
2020-11-30,7772,52
2020-12-01,7087,61
2020-12-02,8135,59
2020-12-03,10148,67
2020-12-04,11846,57
2020-12-05,11054,70
2020-12-06,10151,58
2020-12-07,8453,83
2020-12-08,8435,90
2020-12-09,9258,66
2020-12-10,11124,87
2020-12-11,11124,97
2020-12-12,11000,84
2020-12-13,10587,116
2020-12-14,10138,82
2020-12-15,8964,129
2020-12-16,9419,110
2020-12-17,11723,126
2020-12-18,12652,132
2020-12-19,10067,119
2020-12-20,9305,113
2020-12-21,9805,137
2020-12-22,9393,156
2020-12-23,10532,152
2020-12-24,13024,152
2020-12-25,13048,130
2020-12-26,11129,128
2020-12-27,8008,125
2020-12-28,8268,137
2020-12-29,10183,139
2020-12-30,12917,153
2020-12-31,15393,143
2021-01-01,17033,172
2021-01-02,15849,118
2021-01-03,12232,142
2021-01-04,11242,184
2021-01-05,13142,144
2021-01-06,16016,169
2021-01-07,17588,206
2021-01-08,19560,164
2021-01-09,17839,189
2021-01-10,16308,161
2021-01-11,14179,202
2021-01-12,14791,186
2021-01-13,14704,172
2021-01-14,14187,243
2021-01-15,19469,202
2021-01-16,15945,169
2021-01-17,13694,187
2021-01-18,13410,180
2021-01-19,12721,195
2021-01-20,11119,219
2021-01-21,13908,200
2021-01-22,15684,187
2021-01-23,13909,160
2021-01-24,12383,191
2021-01-25,11972,219
2021-01-26,11040,182
2021-01-27,10365,161
2021-01-28,13783,206
2021-01-29,12951,185
2021-01-30,12892,175
2021-01-31,11209,181
2021-02-01,8932,171
2021-02-02,7949,177
2021-02-03,7154,166
2021-02-04,6970,150
2021-02-05,7897,168
2021-02-06,11492,198
2021-02-07,9923,175
2021-02-08,8972,130
2021-02-09,8279,171
2021-02-10,6584,172
2021-02-11,10011,141
2021-02-12,8715,144
2021-02-13,8755,154
2021-02-14,8330,133
2021-02-15,6538,116
2021-02-16,6709,141
2021-02-17,5925,126
2021-02-18,9582,169
2021-02-19,8573,157
2021-02-20,8238,110
2021-02-21,6237,109
2021-02-22,6297,112
2021-02-23,6923,113
2021-02-24,6139,119
2021-02-25,8893,108
2021-02-26,8074,0125
2021-02-27,8042,109
2021-02-28,7827,117
2021-03-01,6436,104
2021-03-02,6381,99
2021-03-03,6564,117
2021-03-04,7468,114
2021-03-05,8151,104
2021-03-06,8126,94
2021-03-07,7658,88
2021-03-08,5440,66
2021-03-09,6833,80
2021-03-10,6106,92
2021-03-11,7169,117
2021-03-12,4226,67
2021-03-13,10251,93
2021-03-14,6687,103
2021-03-15,7119,63
2021-03-16,6711,94
2021-03-17,6582,61
2021-03-18,5515,91
2021-03-19,5077,73
2021-03-20,6667,66
2021-03-21,3735,25
2021-03-22,2796,18
2021-03-23,3309,18
2021-03-24,27644,255
2021-03-25,8551,73
2021-03-26,8059,58
2021-03-27,8694,80
2021-03-28,8910,89
2021-03-29,8742,141
2021-03-30,5875,54
2021-03-31,7789,87
2021-04-01,9170,76
2021-04-02,8038,83
2021-04-03,7755,93
2021-04-04,7636,82
2021-04-05,6659,73
2021-04-06,6041,45
2021-04-07,6643,92
2021-04-08,8727,55
2021-04-09,8662,79
2021-04-10,7495,59
2021-04-11,6630,81
2021-04-12,5631,87
2021-04-13,5023,54
2021-04-14,6060,92
2021-04-15,7029,68
2021-04-16,6344,52
2021-04-17,6590,67
2021-04-18,5641,42
2021-04-19,5026,48
2021-04-20,4576,62
2021-04-21,4292,43
2021-04-22,5238,98
2021-04-23,4847,62
2021-04-24,4138,59
2021-04-25,4064,52
2021-04-26,3009,39
2021-04-27,3312,75
2021-04-28,3034,23
2021-04-29,3897,69
2021-04-30,3805,49
2021-05-01,3872,51
2021-05-02,2826,49
2021-05-03,2428,65
2021-05-04,2209,60
2021-05-05,2402,55
2021-05-06,2643,34
2021-05-07,2459,39
2021-05-08,3064,42
2021-05-09,2373,35
2021-05-10,1653,41
2021-05-11,1460,41
2021-05-12,2024,55
2021-05-13,2186,41
2021-05-14,2074,37
2021-05-15,1800,11
2021-05-16,1854,39
2021-05-17,1359,36
2021-05-18,1525,31
