dateFrom,dateTo,level
2020-01-22,2020-03-13,0
2020-03-13,2020-03-22,1
2020-03-22,2020-05-15,5
2020-05-15,2020-05-23,4
2020-05-23,2020-06-22,3
2020-06-22,2020-07-20,2
2020-07-20,2020-10-06,1
2020-10-06,2021-01-28,3
2021-01-28,2021-05-07,2
2021-05-07,2021-05-18,1
