date,description,url,featured
2021-02-12,"Governor Cuomo extended the curfew to 11pm for all bars and restaurants statewide.",https://ny.eater.com/2021/2/12/22280259/new-york-restaurant-bar-curfew-11pm-cuomo,0
2021-02-27,"Second lawsuit by 91 businesses resulted in them once again being exempt from the 11pm curfew.",https://www.restaurant-hospitality.com/restaurants-ready/new-york-restaurants-temporarily-allowed-open-past-covid-19-mandated-11-pm-curfew,0
2021-03-15,"Wedding reception venues allowed to open with a maximum of 150 people or 50% capacity, whichever condition is met first. All patrons must get tested (unless vaccinated) and events must be approved by the health department.",https://www.whec.com/rochester-new-york-news/cuomo-wedding-venues-can-expand-to-50-capacity150-people-starting-in-march/5994483/,0
2021-03-22,"Capacity for gatherings increase with residential gatherings of up to 25 people outdoors or 10 people indoors, non-residential gatherings of up to 100 people indoors and up to 200 people outdoors.",https://www.governor.ny.gov/news/governor-cuomo-announces-event-arts-and-entertainment-venues-can-reopen-33-percent-capacity,0
2021-03-26,"Indoor entertainment facilities will be able to reopen at 25% capacity.",https://www.governor.ny.gov/news/governor-cuomo-announces-indoor-family-entertainment-centers-can-open-march-26-outdoor,0
2021-03-26,"Governor Cuomo Announces Launch of Excelsior Pass, America's first vaccine passport",https://www.governor.ny.gov/news/governor-cuomo-announces-launch-excelsior-pass-help-fast-track-reopening-businesses-and,0
2021-04-09,"Outdoor amusement parks will be able to reopen at 33% capacity",https://www.governor.ny.gov/news/governor-cuomo-announces-indoor-family-entertainment-centers-can-open-march-26-outdoor,0
2021-04-06,"Governor Cuomo Announces More Than 10.5 Million COVID-19 Vaccine Doses Have Been Administered in New York State.",https://www.governor.ny.gov/news/governor-cuomo-announces-more-105-million-covid-19-vaccine-doses-have-been-administered-new,0
2021-04-19,"Curfew for bars and restaurants was extended from 11pm to midnight.",https://www.wkbw.com/rebound/restaurant-curfew-extended-from-11-p-m-to-midnight-effective-monday,0
2021-04-29,"Mandate requiring all alcohol purchases to be accompanied with food was removed.",https://nypost.com/2021/04/28/albany-puts-end-to-cuomo-chips-as-it-repeals-gov-order-of-food-with-booze-sales/,0
2021-05-07,"Indoor Dining, Hair Salons, Barber Shops and Other Personal Care Services Will Expand to 75 Percent",https://www.governor.ny.gov/news/governor-cuomo-announces-new-york-city-indoor-dining-will-expand-75-percent-capacity-beginning,0
2021-05-10,"Outdoor social gathering limit expands from 200 to 500 people.",https://www.governor.ny.gov/news/governor-cuomo-governor-murphy-and-governor-lamont-announce-significant-easing-covid-19,0
2021-05-12,"Pools and beaches will be able to operate with six-foot social distancing and no percentage capacity limits by Memorial Day.",https://www.governor.ny.gov/news/governor-cuomo-announces-beaches-and-pools-operate-six-foot-social-distancing,0
2021-05-17,"Governor Cuomo Announces State Will End Food and Beverage Service Curfew for outdoor dining areas.",https://www.governor.ny.gov/news/governor-cuomo-announces-state-will-end-food-and-beverage-service-curfew,0
